ID,Des,Res,Fare
1,Train1:Pairs->Brussels,1,200
2,Train2:Pairs->Brussels,2,200
3,Train3:Pairs->Brussels,3,200
4,Train4:Pairs->Brussels,4,200
5,Train5:Pairs->Brussels,5,200
6,Train6:Pairs->Brussels,6,200
7,Train7:Pairs->Brussels,7,200
8,Train8:Pairs->Brussels,8,200
9,Train9:Pairs->Brussels,9,200
10,Train10:Pairs->Brussels,10,200
11,Train1:Pairs->Brussels,1,400
12,Train2:Pairs->Brussels,2,400
13,Train3:Pairs->Brussels,3,400
14,Train4:Pairs->Brussels,4,400
15,Train5:Pairs->Brussels,5,400
16,Train6:Pairs->Brussels,6,400
17,Train7:Pairs->Brussels,7,400
18,Train8:Pairs->Brussels,8,400
19,Train9:Pairs->Brussels,9,400
20,Train10:Pairs->Brussels,10,400
21,Train1:Pairs->Rotterdam,1;11,300
22,Train2:Pairs->Rotterdam,2;12,300
23,Train3:Pairs->Rotterdam,3;13,300
24,Train4:Pairs->Rotterdam,4;14,300
25,Train5:Pairs->Rotterdam,5;15,300
26,Train6:Pairs->Rotterdam,6;16,300
27,Train7:Pairs->Rotterdam,7;17,300
28,Train8:Pairs->Rotterdam,8;18,300
29,Train9:Pairs->Rotterdam,9;19,300
30,Train10:Pairs->Rotterdam,10;20,300
31,Train1:Pairs->Rotterdam,1;11,500
32,Train2:Pairs->Rotterdam,2;12,500
33,Train3:Pairs->Rotterdam,3;13,500
34,Train4:Pairs->Rotterdam,4;14,500
35,Train5:Pairs->Rotterdam,5;15,500
36,Train6:Pairs->Rotterdam,6;16,500
37,Train7:Pairs->Rotterdam,7;17,500
38,Train8:Pairs->Rotterdam,8;18,500
39,Train9:Pairs->Rotterdam,9;19,500
40,Train10:Pairs->Rotterdam,10;20,500
41,Train1:Pairs->Schiphol,1;11;21,350
42,Train2:Pairs->Schiphol,2;12;22,350
43,Train3:Pairs->Schiphol,3;13;23,350
44,Train4:Pairs->Schiphol,4;14;24,350
45,Train5:Pairs->Schiphol,5;15;25,350
46,Train6:Pairs->Schiphol,6;16;26,350
47,Train7:Pairs->Schiphol,7;17;27,350
48,Train8:Pairs->Schiphol,8;18;28,350
49,Train9:Pairs->Schiphol,9;19;29,350
50,Train10:Pairs->Schiphol,10;20;30,350
51,Train1:Pairs->Schiphol,1;11;21,525
52,Train2:Pairs->Schiphol,2;12;22,525
53,Train3:Pairs->Schiphol,3;13;23,525
54,Train4:Pairs->Schiphol,4;14;24,525
55,Train5:Pairs->Schiphol,5;15;25,525
56,Train6:Pairs->Schiphol,6;16;26,525
57,Train7:Pairs->Schiphol,7;17;27,525
58,Train8:Pairs->Schiphol,8;18;28,525
59,Train9:Pairs->Schiphol,9;19;29,525
60,Train10:Pairs->Schiphol,10;20;30,525
61,Train1:Pairs->Amsterdam,1;11;21;31,350
62,Train2:Pairs->Amsterdam,2;12;22;32,350
63,Train3:Pairs->Amsterdam,3;13;23;33,350
64,Train4:Pairs->Amsterdam,4;14;24;34,350
65,Train5:Pairs->Amsterdam,5;15;25;35,350
66,Train6:Pairs->Amsterdam,6;16;26;36,350
67,Train7:Pairs->Amsterdam,7;17;27;37,350
68,Train8:Pairs->Amsterdam,8;18;28;38,350
69,Train9:Pairs->Amsterdam,9;19;29;39,350
70,Train10:Pairs->Amsterdam,10;20;30;40,350
71,Train1:Pairs->Amsterdam,1;11;21;31,525
72,Train2:Pairs->Amsterdam,2;12;22;32,525
73,Train3:Pairs->Amsterdam,3;13;23;33,525
74,Train4:Pairs->Amsterdam,4;14;24;34,525
75,Train5:Pairs->Amsterdam,5;15;25;35,525
76,Train6:Pairs->Amsterdam,6;16;26;36,525
77,Train7:Pairs->Amsterdam,7;17;27;37,525
78,Train8:Pairs->Amsterdam,8;18;28;38,525
79,Train9:Pairs->Amsterdam,9;19;29;39,525
80,Train10:Pairs->Amsterdam,10;20;30;40,525
81,Train1:Brussels->Rotterdam,11,150
82,Train2:Brussels->Rotterdam,12,150
83,Train3:Brussels->Rotterdam,13,150
84,Train4:Brussels->Rotterdam,14,150
85,Train5:Brussels->Rotterdam,15,150
86,Train6:Brussels->Rotterdam,16,150
87,Train7:Brussels->Rotterdam,17,150
88,Train8:Brussels->Rotterdam,18,150
89,Train9:Brussels->Rotterdam,19,150
90,Train10:Brussels->Rotterdam,20,150
91,Train1:Brussels->Rotterdam,11,250
92,Train2:Brussels->Rotterdam,12,250
93,Train3:Brussels->Rotterdam,13,250
94,Train4:Brussels->Rotterdam,14,250
95,Train5:Brussels->Rotterdam,15,250
96,Train6:Brussels->Rotterdam,16,250
97,Train7:Brussels->Rotterdam,17,250
98,Train8:Brussels->Rotterdam,18,250
99,Train9:Brussels->Rotterdam,19,250
